Gender ,Unit Location ,Time in role,TIDES Day 1,TIDES Day 2,TIDES Day 3,TIDES Orientation ,TIDES Physical Skills Pre-reqs ,Safe & Well Trainings,Safe & Well Trainings_open ,PreKnowledge1 ,PreKnowledge2,PreKnowledge3,PreKnowledge4,PreKnowledge5,PreKnowledge6,PreKnowledge7,PreKnowledge8,PreKnowledge9,PreKnowledge10,PreKnowledge11,PreKnowledge12,PreConfidence1,PreConfidence2,PreConfidence3,PreConfidence4,PreConfidence5,PreConfidence6,PreConfidence7,PreConfidence8,PostKnowledge1 ,PostKnowledge2,PostKnowledge3,PostKnowledge4,PostKnowledge5,PostKnowledge6,PostKnowledge7,PostKnowledge8,PostKnowledge9,PostKnowledge10,PostKnowledge11,PostKnowledge12,PostConfidence1,PostConfidence2,PostConfidence3,PostConfidence4,PostConfidence5,PostConfidence6,PostConfidence7,PostConfidence8,LearningAreas1,LearningAreas2,LearningAreas3,LearningAreas4,LearningAreas5,LearningAreas6,LearningAreas7,ContentAreas1,ContentAreas2,ContentAreas3,ContentAreas4,ContentAreas5,ContentAreas6,Intent2Use_Open,Intentnotuse_Open,Satisfaction,Otherfeedback_open,PreK,PostK,PreC,PostC,PreKScore,PostKScore,PreCScore,PostCScore
Female ,5,1,1,1,.,1,.,.,.,4,4,4,4,4,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,5,5,5,5,5,4,4,4,4,4,2,2,4,2,2,2,2,2,4,2,4,4,4,4,4,4,4,3,2,3,3,3,2,.,.,4,"Peer support educator- excellent. Group work was very good. Variety of learning modes-hands on, discussion, small group was good",2.416666667,4.083333333,1.125,2.5,17,39,25,26
Female,5,1,1,1,.,2,2,2,.,3,4,4,4,5,1,4,3,4,4,3,5,4,4,2,3,2,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,Have discussions with colleagues about what I have learned and ensure they are aware and make the use of restraints least traumatic for staff and clients ,.,5,It was amazing and informative,3.666666667,5,3.375,5,42,60,34,40
Female ,5,2,1,1,.,.,.,.,.,4,4,4,5,4,3,3,3,3,4,3,3,4,2,1,1,1,1,3,2,5,4,4,4,5,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,Can support team with applying restraints ,.,5,"Like the addition of videos, felt like this was one of the best TIDES training. Facilitators: camhstaff and camhstaff were wonderful. ",3.583333333,4.166666667,1.875,3.75,34,48,24,35
Female ,5,4,1,1,,1,1,.,.,.,4,4,4,4,4,2,2,2,4,4,5,2,2,2,2,2,2,2,2,4,4,5,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,.,The hands on training was very good. I gained greater knowledge of applying restraints- Thank you!,.,.,3.25,4.25,2,4,35,50,25,36
Female,5,6,1,1,,.,.,2,.,3,4,4,4,4,3,3,3,3,4,3,4,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,Trauma informed- blanket on client; able to hold client [illegible] ,.,5,"Great teaching method; interactive, thank you",3.5,4,3.375,3.375,40,45,30,34
Female ,5,2,1,1,,1,1,1,Crisis Prevention and Intervention,4,4,3,4,4,1,1,1,4,3,3,3,4,3,1,1,1,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4,5,5,5,5,5,4,4,3,3,3,4,During a code white ,.,4,Facilitators work great as a team. Instructions were very clear and precise,2.916666667,4,2.25,3.875,29,48,25,34
Female ,5,2,1,1,,2,1,1,.,4,4,4,4,4,2,1,2,1,4,2,3,4,3,1,1,1,1,1,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,5,5,5,5,5,5,5,3,3,4,4,4,4,"Become more aware of my moral conflict, distress etc. ",.,5,.,2.916666667,4.083333333,1.875,3.5,28,46,23,34
Female ,5,5,1,1,,2,.,.,.,5,4,4,4,4,3,3,3,2,3,4,4,3,4,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,3,3,3,4,4,5,5,4,5,5,5,5,3,3,4,3,3,3,.,.,.,.,3.583333333,3.666666667,3.375,3.625,39,43,30,33
Female ,5,1,1,1,,.,.,.,.,4,4,3,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,.,.,5,.,3.416666667,4.916666667,3.125,5,38,60,32,40
Male,5,3,1,1,,1,1,.,.,4,4,4,4,4,3,3,3,4,4,4,4,3,3,3,3,3,3,4,3,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,.,5,4,4,4,5,5,5,.,.,5,.,3.75,4.25,3.125,4,41,48,32,36
Female,5,1,1,1,,.,.,.,.,4,2,4,4,4,3,3,2,2,3,4,5,4,4,1,1,1,1,3,4,4,4,4,4,5,5,5,4,4,5,4,4,4,5,4,4,4,4,5,5,5,4,4,5,4,3,4,4,3,4,4,4,4,.,.,4,.,3.333333333,4.333333333,2.375,4.375,36,53,25,36
Male,6,3,1,1,.,.,.,.,.,2,4,4,4,4,4,4,4,1,2,4,4,4,4,4,4,2,1,4,4,4,4,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,2,5,5,5,5,5,3,4,4,4,2,2,Practice hand control when at work and practice self wellness,.,5,.,3.416666667,4.75,3.375,4.875,43,58,29,37
.,6,4,1,1,.,.,1,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,I plan to be diligent in my self-care strategies and keep practicing my restraints regularly ,.,5,Good and refreshing. Good facilitators ,4,4,4,4,48,48,32,32
Female,6,.,.,.,.,.,.,.,.,4,4,4,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Use trauma aware strategies for sure + minimize restraints,.,4,The dining room was a bit noisy + hard to hear other's conversation,3.5,4,3,4,38,48,28,32
Female,6,3,1,1,.,1,1,2,.,4,4,4,4,3,1,1,1,1,3,1,1,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,"Self care- intend to begin regimen; awareness of cognitive dissonance, very enlightening; feel more confident with skills",.,5,Instructors were very helpful,2.333333333,4,3,4,24,48,28,32
Female,6,4,1,1,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,3,3,3,Debriefing client; mechanical restraint,.,5,.,4,4.166666667,3.625,4,47,50,30,36
Female,6,4,1,.,.,.,.,.,.,3,4,4,4,5,4,3,3,3,3,3,3,4,3,3,3,3,3,3,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,3,3,3,3,4,5,5,5,5,5,5,5,3,4,4,3,3,3,Attending to behavioural indicators of patients; Active listening to patient's concerns,.,5,Less participants or max 15 staff,3.5,4.166666667,3.25,3.5,40,49,29,33
Female,6,4,1,1,.,.,1,.,.,2,3,4,5,.,2,2,2,2,2,2,2,3,2,2,2,2,2,4,3,4,4,4,5,5,5,4,4,4,4,4,4,4,3,4,3,3,3,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,When clients escalate and are unwilling to follow directions,.,5,Well Done! ,2.333333333,4.25,2.5,3.5,23,48,28,34
Male,6,3,.,.,.,.,.,.,.,4,4,4,3,2,2,2,2,2,3,4,4,2,4,3,3,2,2,3,4,4,4,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,3,3,5,5,5,5,5,5,5,3,3,3,3,3,3,"In code white situation, aggressive patient",I will use this training,5,Good training ,3,3.75,2.875,3.75,33,46,26,34
Female ,6,1,1,1,.,2,2,2,.,5,4,4,5,4,4,4,4,4,5,4,4,4,3,4,4,4,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,3,3,3,Using trama-informed approach in assessing patients and possible need for constraints/appropriate type/level of restraints based on safety risk factors.,.,5,"Love the videos, live demonstrations, practice especially color pictures in handouts ",4.25,5,3.875,4.75,48,58,36,40
Male ,6,3,1,1,.,.,.,.,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,4,5,4,4,4,5,5,4,5,4,4,4,4,4,4,4,5,4,5,5,.,5,5,5,5,4,4,4,4,4,4,.,.,5,.,3,4.5,3,4.125,36,51,31,32
Male,6,3,1,1,.,1,1,.,.,4,4,4,4,4,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,3,3,3,3,3,3,.,.,4,.,3.5,4,3.125,4,39,48,28,36
Male ,6,4,1,1,.,1,1,.,.,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,.,.,5,.,3.833333333,4.75,4,4.875,47,59,33,40
Female ,6,2,1,1,.,.,1,.,.,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,3,3,3,3,3,3,"I have to use the moral conflict, distress, and residue  especially self-care ",.,5,So far this is the best TIDES I attended ,3.083333333,4,3,4,37,48,28,32
Female ,6,6,.,.,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,.,.,.,.,4,4,4,4,48,48,32,32
Female ,6,6,1,.,.,.,1,.,.,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,3,3,3,Be more considerate of client having PTSD some kind of trauma. Go back to appropriate self-care activities geared to me ,.,5,It's a great refresher training,3.916666667,4,3.875,4,47,48,31,36
Female ,6,2,1,1,.,.,.,.,.,4,4,4,4,4,2,2,2,2,4,2,2,4,1,1,1,1,2,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,Continue to make every effort to de-esclate using verbal skills. Always operate from a trauma-informed practice ,.,5,.,3,5,1.875,5,27,60,28,40
Female ,6,6,1,1,.,.,.,.,.,3,3,4,3,3,2,2,2,2,3,3,3,3,4,3,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,Trauma-informed and restraint application ,.,5,Excellent facilitators ,2.75,4,2.75,3.875,32,47,26,36
Female,6,5,1,1,.,1,1,.,.,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,5,5,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4.083333333,4,4,4.25,48,50,32,31
Female,6,6,1,1,.,.,.,.,.,4,4,4,4,4,3,3,3,3,3,3,4,3,.,3,3,3,3,3,4,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,3,3,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,"Self care after event, debriefing, proper restraint use",.,5,Great training of material and division of group to allow focused practice,3.5,0,2.75,3.75,35,15,13,35
Male,6,3,1,1,.,.,.,.,.,2,4,4,4,4,2,2,2,2,3,3,4,4,2,2,2,2,2,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,5,5,5,5,5,5,5,3,1,2,3,3,3,"Using the ""more trauma informed"" skill before deciding on use of seclusion room. Continue to provide debrief assessment to client even after they refuse.",.,4,.,3,3.75,2.75,3.125,32,42,28,32
Male,6,4,1,1,,1,1,.,.,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,5,4,4,4,3,4,3,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,.,.,5,.,2.166666667,3.916666667,2,3.75,24,46,24,31
Female ,6,4,1,"1,2",,1,1,2,.,4,4,4,5,5,3,3,4,3,4,3,4,5,4,4,4,4,4,.,3,4,5,5,4,5,4,4,4,4,4,4,4,4,3,4,.,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,Prevent harm ,.,.,.,3.833333333,4.25,3.5,3.375,46,44,29,33
Female,7,3,1,1,.,1,1,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,.,N/A,.,TIDES Day 3 was a great refresher and very informative ,4,5,3.5,4,46,56,34,36
Female,7,4,1,1,.,1,1,1,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,.,4,4,4,3,3,3,3,3,3,3,4,4,4,3,3,3,.,3,3,3,3,3,3,.,.,5,.,3,3.166666667,3,3.125,36,38,25,27
Female,7,3,1,.,.,.,1,.,.,4,4,4,4,4,4,4,4,4,4,5,5,3,4,4,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,4,5,4,4,5,5,4,4,4,4,4,4,A patient who became violent and try to harm himself and others,.,5,Excellent!!,4.166666667,5,3.375,4.125,48,56,33,35
Female,7,6,1,1,.,1,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,.,.,4,.,4,4,3.375,4,44,48,31,32
Female,7,6,1,1,.,1,1&2,2,.,4,4,4,3,3,4,4,4,4,4,4,4,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,.,.,4,Very good training! ,3.833333333,4,3.375,3.75,44,48,30,33
Female,7,2,1,1,.,1,1,.,.,4,4,4,5,5,4,3,4,4,4,4,4,2,2,2,3,2,2,4,4,4,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,5,5,4,5,4,4,4,5,3,3,5,3,2,3,2,2,2,Better self-care ,.,4,.,4.083333333,4.833333333,2.625,4.625,41,57,31,36
Female,7,3,1,1,.,1,2,2,.,4,4,4,4,4,2,2,2,2,4,2,2,4,1,1,1,1,1,4,2,5,5,5,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,Self-care everyday - set goals for myself. Keep trauma in mind with clients ,.,5," Great practice at mechanical restraints. Excellet trainers, nice room, nice group size, excellent content. Awesome to have service user educator - wow! Was a pleasure to learn today. ",3,4.5,1.875,4,27,50,28,36
Female,7,5,1,1,.,1,.,.,.,4,4,3,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,4,4,4,5,4,4,4,4,4,4,4,4,3,4,3,3,3,4,4,5,4,5,5,5,5,5,4,4,4,4,4,4,I would like to continue practice monthly on the unit as to not lose this skill of applying and to build confidence ,.,5,Great training session and refresher to build confidence,3.416666667,4.083333333,3,3.5,38,47,28,33
Female,7,4,.,1,.,1,.,.,.,4,4,5,5,5,5,5,4,5,5,5,5,4,4,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,4,4,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,Managing self,.,5,Working trauma-informed ,4.75,4.666666667,4.625,4.375,56,55,38,38
Female,7,6,1,1,.,1,1,2,.,3,4,4,4,3,3,3,4,4,4,4,4,4,4,3,3,4,4,3,4,5,5,5,4,5,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,5,5,4,5,5,5,5,3,3,4,3,3,4,.,.,5,.,3.666666667,4.5,3.625,4,43,51,34,35
Female ,7,6,1,1,.,.,1,.,.,4,4,4,4,4,3,3,3,3,4,3,4,4,3,3,3,3,3,3,4,5,5,5,5,5,4,4,4,4,5,4,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,How to use 2 person restraint on a agitated client. Ensure patient and staff debrief is done ,.,5,Good refresher. Instructors were very good in explaining and demonstrating the skills ,3.583333333,4.583333333,3.25,4.375,40,52,33,38
Male ,7,3,1,1,.,1,1,1,PMAB,3,4,4,4,4,2,1,1,1,3,3,3,2,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,.,.,4,.,2.75,4,1.25,4,23,48,21,36
Male ,7,1,1,1,,1,2,1,CPI,2,4,4,4,4,3,2,2,4,3,4,3,3,4,3,3,3,3,4,5,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,.,.,5,.,3.25,0,3.5,4,38,16,15,31
Male,7,2,2,2,,.,.,.,.,3,4,4,3,4,4,4,3,3,3,4,4,3,4,4,4,3,3,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,3,3,3,3,5,5,.,.,5,.,3.583333333,4.833333333,3.625,5,44,60,32,39
Female ,7,5,1,1,,.,.,.,.,5,5,5,5,5,4,4,3,3,5,5,5,5,5,4,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,.,.,5,"Water or access to a water filter unit like on our unit should be provided. Due to the hands on training, please provide hand sanitizers. West wing location should be changed! We were constantly being interrupted and told to ""keep noise down"" while working on our hands on training. It really put a damper on our groups enthusiasm! The facilitators were great and very supporting during this ordeal. CAMH staff should also be mroe tolerant of eachother during training classes. ",4.5,5,4.25,5,52,60,36,40
Female ,7,4,1,1,,.,1,.,.,4,5,5,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,5,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4.166666667,4,3.875,46,48,34,30
Female,7,4,1,1,,.,.,.,.,4,4,4,4,4,3,3,3,3,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,5,5,4,4,4,4,4,4,.,Thank you ,.,.,3.666666667,4,3.25,4,41,48,29,34
Female ,7,1,1,1,,.,.,.,.,4,5,5,5,5,4,4,3,4,4,5,5,4,5,4,3,3,3,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,4,4,.,.,5,.,4.416666667,4.916666667,3.875,4.875,50,58,35,39
Female ,7,3,1,1,,.,.,.,.,4,.,3,3,4,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,4,5,4,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,.,.,.,.,2.916666667,4.25,2.625,3.25,34,47,30,28
Male ,7,6,1,1,,1,.,.,.,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,3,3,3,3,3,3,.,.,5,.,3.416666667,4,3.25,4,39,48,28,36
Female ,8,.,1,1,.,.,.,.,.,5,5,5,5,5,4,2,2,2,4,4,2,4,.,2,2,2,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,.,5,4,4,4,4,4,4,I intend to use the physical restraint strategies learned should the occasion arise. ,.,5,.,3.75,5,2.375,5,33,60,31,40
.,8,4,1,1,.,.,1,.,.,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,.,.,5,Would be appreciated to provde staff and trainers with at bottle water for rehydration.,4,4.916666667,5,5,52,60,39,40
Male,8,1,1,1,.,1,2,2,.,4,4,4,4,4,3,2,1,2,4,3,4,5,3,3,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,3,4,5,2,2,4,3,4,3,4,2,2,"If/when restraints needed, I feel confident applying ",.,4,camhstaff is great at his job! ,3.25,4,3,4.125,36,49,27,33
Male,8,1,1,1,.,1,1,2,.,4,3,4,4,4,4,2,2,2,3,2,3,3,2,4,2,2,2,4,3,5,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,4,.,5,4,3,5,4,4,5,3,2,3,3,4,4,More practice with Pinel restraints ,.,4,.,3.083333333,4.583333333,2.75,3.375,33,52,30,28
Female,8,5,1,1,.,.,.,.,.,3,3,3,4,3,4,3,3,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,5,3,4,4,4,4,4,When clients need to go in restraints to prevent them from harming self or others,.,5,This session was very informative,3.416666667,4,3.75,4,42,48,32,35
Female,8,5,1,1,.,1,1,2,.,3,5,4,4,4,3,3,4,4,4,4,4,4,4,3,3,4,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,3,4,4,4,4,Take a lead in situations that my service may be needed,.,5,.,3.833333333,5,3.625,4.875,44,60,35,39
Female,8,5,1,1,.,.,.,2,.,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,Recognizing the changes in cients status to initiate de-esclating techniques,.,5,Great training and professional trainers ,4,4.583333333,3.625,4.25,46,55,31,38
Male ,8,2,1,1,.,.,.,.,.,3,4,4,4,2,3,3,2,3,3,3,3,3,4,4,3,3,3,3,3,4,5,5,5,5,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,4,3,3,.,.,4,.,3.083333333,4.416666667,3.25,5,36,54,31,40
Female,8,5,1,1,.,.,.,.,.,4,4,4,4,4,3,3,1,1,3,3,4,4,2,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,2,2,2,4,3,3,2,2,2,4,2,5,5,5,5,5,5,5,4,4,4,4,4,4,eg. Restraint; Trauma event,I will be using some of the technique if the opportunity comes ,.,.,3.166666667,2.833333333,2.25,2.75,32,30,24,30
Female,8,3,1,1,.,.,.,.,.,4,3,4,4,4,3,4,4,3,4,4,4,3,4,4,3,3,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,.,.,.,.,3.75,4.166666667,3.625,4,44,49,32,36
Female,8,2,1,1,.,.,.,1,PMAB,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,.,.,5,.,4,5,3.25,5,44,60,34,40
Female,8,2,.,1,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,We have a client that needs to be restraint during ECT so this training gives me more confidence and knowledge how to do mechanical restraint,.,5,The training was very useful and gives me more confident.,4,4,4,4,48,48,32,36
.,8,6,1,1,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,.,.,5,.,4,4.333333333,4,4.5,48,54,32,38
Female,8,2,1,1,.,1,1,.,.,4,4,4,4,4,3,3,3,3,4,4,4,3,4,3,4,3,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,De-esclate client. Safely and effectively apply restraints ,.,4,.,3.666666667,4.5,3.625,4.25,42,55,31,33
Female,8,5,1,1,.,.,2,2,.,4,5,5,5,4,1,1,1,2,5,2,4,4,2,1,1,1,1,3,4,5,5,5,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,1,3,1,3,4,4,"To faciliate, reinforance with staff on unit I support, to be able to effectively intervene as needed in a restraint event using best practices ",.,5,.,3.25,4.416666667,2.125,4,28,49,29,36
.,8,4,1,1,.,.,.,.,.,4,2,4,2,5,2,2,1,1,4,1,2,2,1,1,1,1,1,4,2,4,4,4,3,5,4,4,3,4,4,4,4,3,4,3,3,3,3,4,4,5,5,5,5,5,5,5,4,4,3,3,3,3,.,.,.,.,2.5,3.916666667,1.625,3.375,23,45,23,34
Female ,8,5,1,.,.,.,1,.,.,2,3,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,3,3,3,4,3,3,3,3,3,3,3,4,.,2,2,3,4,4,4,4,5,5,5,4,5,5,4,4,4,4,3,4,.,.,4,.,1.583333333,3.083333333,1.125,2.875,14,33,17,34
Female,8,2,1,.,.,.,1,.,.,5,5,5,5,5,4,3,3,3,5,5,5,5,5,4,4,2,2,3,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,3,3,4,5,5,3,3,5,5,3,3,4,4,4,4,4,4,I will use it to provide addtional focused teaching to the teams I support ,.,4,I thought it was redundant to tell us to read the pages in the booklet. The day could be shortened to 4-5 hours ,4.416666667,4.833333333,3.75,4.375,51,58,32,31
Female ,8,4,1,1,,.,.,.,.,4,4,4,.,.,.,.,.,.,.,3,.,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,4,5,5,4,4,4,3,3,4,.,.,4,.,1.25,4,3.75,4,17,48,32,35
Male ,8,3,1,1,,1,1,2,.,4,4,3,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,0,4,0,49,0,16,0
.,9,5,1,1,2,.,1,2,.,2,4,4,4,4,.,4,2,2,.,2,4,4,3,2,2,3,3,5,5,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,5,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.666666667,4.166666667,3.375,4.25,29,50,32,18
